Gender,Education_Level,Income_Level,Urban_Rural,Profession,Dowry_Amount_Lakhs
Male,School,High,Rural,Business Owner,18.12
Female,School,High,Urban,Software Engineer,20.42
Male,School,Low,Rural,Farmer,11.3
Male,School,High,Urban,Business Owner,10.46
Male,School,Low,Urban,Doctor,17.05
Male,Postgraduate,Middle,Rural,Farmer,8.62
Male,Postgraduate,Low,Rural,Government Officer,21.19
Female,Postgraduate,High,Rural,Software Engineer,17.45
Female,Postgraduate,Middle,Urban,Government Officer,12.18
Male,Postgraduate,High,Rural,Doctor,23.14
Male,Postgraduate,High,Urban,Teacher,7.34
Male,Postgraduate,Low,Rural,Teacher,8.47
Male,School,High,Rural,Software Engineer,20.14
Female,Graduate,Low,Rural,Farmer,9.32
Male,Postgraduate,Middle,Rural,Doctor,34.26
Female,Graduate,Middle,Urban,Software Engineer,12.88
Male,Postgraduate,High,Rural,Farmer,9.12
Female,Postgraduate,Low,Rural,Software Engineer,14.66
Male,School,High,Rural,Software Engineer,14.41
Male,Graduate,High,Rural,Government Officer,20.24
Female,School,High,Urban,Business Owner,17.31
Male,School,High,Urban,Doctor,34.56
Male,Graduate,Low,Rural,Government Officer,21.99
Male,School,High,Urban,Farmer,4.42
Female,Postgraduate,Middle,Rural,Business Owner,10.7
Male,Postgraduate,Low,Urban,Software Engineer,25.23
Male,Postgraduate,High,Rural,Teacher,10.27
Female,Postgraduate,Low,Urban,Government Officer,15.84
Female,Postgraduate,High,Urban,Doctor,24.44
Female,School,Middle,Urban,Doctor,33.3
Male,School,Middle,Urban,Business Owner,17.07
Male,Postgraduate,Middle,Urban,Government Officer,17.86
Male,Postgraduate,Low,Rural,Software Engineer,29.61
Female,School,Middle,Urban,Business Owner,17.54
Male,Graduate,High,Rural,Farmer,3.05
Male,School,High,Rural,Doctor,17.25
Female,School,High,Rural,Farmer,7.99
Female,School,Low,Rural,Government Officer,16.55
Female,School,Low,Rural,Teacher,13.13
Female,School,Middle,Rural,Farmer,11.06
Female,Graduate,Low,Rural,Software Engineer,14.81
Male,Postgraduate,High,Rural,Doctor,30.27
Female,Postgraduate,High,Rural,Government Officer,18.96
Male,Graduate,High,Rural,Teacher,8.92
Male,Postgraduate,Low,Rural,Doctor,30.74
Female,Postgraduate,High,Urban,Teacher,10.65
Female,Postgraduate,Middle,Rural,Doctor,27.71
Female,Graduate,Low,Rural,Business Owner,8.75
Male,Graduate,High,Rural,Business Owner,15.03
Female,Postgraduate,High,Urban,Business Owner,11.61
Female,Postgraduate,Low,Urban,Government Officer,18.41
Female,Postgraduate,Low,Rural,Business Owner,10.66
Female,School,Middle,Urban,Government Officer,19.99
Female,School,Low,Urban,Software Engineer,12.95
Male,School,High,Rural,Business Owner,9.47
Male,Graduate,Middle,Rural,Government Officer,14.45
Male,Postgraduate,High,Urban,Doctor,31.35
Female,Graduate,High,Urban,Government Officer,12.44
Female,Graduate,High,Rural,Farmer,9.57
Female,Graduate,Low,Rural,Government Officer,12.73
Male,Postgraduate,Low,Rural,Farmer,8.33
Female,School,High,Rural,Doctor,30.47
Female,Postgraduate,Low,Rural,Government Officer,15.0
Female,Postgraduate,High,Rural,Doctor,18.92
Male,Graduate,Low,Urban,Farmer,5.6
Female,Graduate,Low,Rural,Teacher,12.0
Male,Graduate,Low,Rural,Business Owner,11.06
Female,School,Middle,Urban,Farmer,7.52
Male,School,Low,Rural,Software Engineer,12.69
Male,School,Middle,Rural,Government Officer,18.0
Male,Postgraduate,Middle,Urban,Doctor,27.49
Female,Graduate,Middle,Urban,Business Owner,8.86
Female,Postgraduate,High,Rural,Government Officer,22.6
Male,School,Low,Urban,Business Owner,19.25
Male,Graduate,High,Rural,Teacher,6.94
Female,School,Middle,Rural,Government Officer,21.87
Female,Graduate,Low,Urban,Doctor,21.27
Male,Graduate,High,Rural,Teacher,11.77
Female,Postgraduate,Middle,Rural,Government Officer,15.99
Female,Postgraduate,High,Rural,Business Owner,18.35
Female,School,High,Rural,Teacher,8.47
Female,Postgraduate,Low,Urban,Doctor,31.98
Male,Postgraduate,Low,Urban,Government Officer,21.96
Female,Postgraduate,High,Rural,Business Owner,10.36
Female,Graduate,Low,Rural,Business Owner,9.88
Male,Postgraduate,Low,Rural,Farmer,10.02
Male,School,High,Rural,Teacher,8.9
Female,Graduate,Low,Rural,Government Officer,24.34
Female,Graduate,Low,Urban,Farmer,11.49
Female,Postgraduate,Middle,Urban,Business Owner,16.32
Female,Graduate,Low,Urban,Teacher,10.01
Male,School,Middle,Rural,Software Engineer,13.9
Male,School,High,Rural,Business Owner,18.59
Male,Graduate,Middle,Rural,Teacher,5.82
Female,Postgraduate,High,Urban,Software Engineer,17.41
Female,Postgraduate,Low,Rural,Teacher,8.19
Female,Graduate,Low,Urban,Business Owner,19.5
Female,School,Middle,Rural,Software Engineer,12.36
Male,Graduate,High,Rural,Teacher,13.9
Male,Postgraduate,Low,Rural,Government Officer,17.93
Female,Postgraduate,Middle,Rural,Software Engineer,10.95
Male,Graduate,Middle,Urban,Teacher,12.29
Female,School,Middle,Rural,Government Officer,13.31
Female,Graduate,Low,Rural,Software Engineer,14.74
Male,School,High,Urban,Teacher,13.0
Female,School,Low,Urban,Business Owner,9.86
Female,Graduate,Low,Urban,Software Engineer,16.51
Male,Graduate,High,Rural,Software Engineer,17.22
Female,School,Middle,Rural,Government Officer,19.65
Female,School,Low,Rural,Farmer,10.11
Male,School,Middle,Rural,Farmer,5.08
Female,School,Middle,Urban,Teacher,7.06
Male,Postgraduate,High,Urban,Business Owner,10.66
Female,Graduate,High,Urban,Government Officer,16.96
Male,School,High,Urban,Software Engineer,20.7
Male,Graduate,Middle,Urban,Farmer,3.12
Male,School,Middle,Rural,Government Officer,22.14
Female,Graduate,Low,Rural,Government Officer,24.05
Male,Graduate,Middle,Rural,Government Officer,22.97
Male,School,High,Urban,Software Engineer,10.74
Male,School,High,Urban,Doctor,25.49
Male,Graduate,High,Rural,Government Officer,22.58
Male,Graduate,High,Rural,Doctor,21.88
Female,Graduate,Middle,Rural,Farmer,11.07
Female,Postgraduate,High,Rural,Business Owner,18.64
Female,School,Low,Rural,Farmer,4.28
Female,Postgraduate,Middle,Rural,Business Owner,13.92
Female,Postgraduate,High,Urban,Business Owner,8.31
Female,School,Low,Rural,Farmer,5.54
Female,School,High,Urban,Teacher,13.12
Male,Postgraduate,Middle,Rural,Software Engineer,29.5
Female,School,Middle,Urban,Doctor,33.27
Male,Graduate,Low,Urban,Teacher,5.43
Male,Graduate,Middle,Urban,Doctor,33.53
Female,Postgraduate,Low,Rural,Software Engineer,26.45
Male,Postgraduate,High,Rural,Government Officer,23.28
Male,School,Middle,Rural,Farmer,11.23
Male,School,High,Rural,Teacher,9.88
Male,Postgraduate,High,Urban,Software Engineer,14.22
Female,Postgraduate,Middle,Rural,Farmer,3.19
Female,Graduate,High,Rural,Teacher,5.24
Female,Graduate,Low,Rural,Business Owner,15.71
Female,School,Low,Urban,Teacher,8.37
Female,Graduate,Low,Urban,Government Officer,18.45
Female,School,Middle,Rural,Government Officer,13.71
Female,School,High,Rural,Doctor,34.51
Female,School,High,Rural,Teacher,6.3
Female,Graduate,High,Rural,Business Owner,13.34
Female,Postgraduate,High,Urban,Government Officer,17.76
Male,Postgraduate,Low,Rural,Doctor,15.17
Female,Graduate,Middle,Rural,Business Owner,16.01
Male,Postgraduate,Low,Urban,Business Owner,14.46
Male,School,Low,Rural,Business Owner,13.97
Male,Postgraduate,Middle,Rural,Software Engineer,26.36
Male,Graduate,Middle,Rural,Government Officer,15.13
Female,Postgraduate,Low,Urban,Software Engineer,27.22
Male,School,High,Urban,Software Engineer,27.3
Female,School,Middle,Rural,Government Officer,22.75
Female,Graduate,Middle,Rural,Teacher,8.41
Male,Graduate,Low,Urban,Farmer,4.46
Female,Graduate,High,Urban,Doctor,24.5
Male,School,Middle,Urban,Farmer,5.34
Male,Postgraduate,Low,Rural,Farmer,3.47
Female,Postgraduate,Middle,Urban,Farmer,5.52
Female,Graduate,High,Urban,Farmer,7.22
Male,Postgraduate,Low,Urban,Government Officer,13.47
Female,Postgraduate,Low,Rural,Farmer,11.5
Female,Graduate,High,Urban,Doctor,28.12
Female,Graduate,Low,Rural,Teacher,6.36
Male,School,High,Rural,Government Officer,22.56
Male,School,Low,Rural,Farmer,11.35
Female,School,High,Rural,Business Owner,11.15
Female,School,Middle,Urban,Government Officer,13.86
Female,Postgraduate,Middle,Rural,Teacher,8.22
Female,Postgraduate,Middle,Rural,Farmer,10.49
Female,School,Low,Rural,Software Engineer,13.5
Male,School,High,Urban,Government Officer,22.13
Female,Graduate,High,Urban,Business Owner,16.6
Male,Postgraduate,Middle,Urban,Government Officer,20.47
Female,Postgraduate,Middle,Urban,Software Engineer,18.67
Male,School,Middle,Rural,Government Officer,16.77
Female,Postgraduate,High,Rural,Business Owner,9.02
Male,Graduate,Middle,Rural,Teacher,8.57
Female,Graduate,Low,Urban,Business Owner,15.22
Male,Postgraduate,Middle,Urban,Teacher,13.98
Male,School,Middle,Urban,Business Owner,18.0
Male,Postgraduate,High,Rural,Doctor,15.64
Male,Graduate,Low,Rural,Government Officer,13.81
Male,School,High,Rural,Government Officer,23.03
Male,Postgraduate,Low,Urban,Software Engineer,28.79
Female,School,Low,Urban,Doctor,16.12
Male,School,Middle,Rural,Software Engineer,24.03
Female,Graduate,Middle,Urban,Government Officer,16.75
Female,School,High,Rural,Software Engineer,17.29
Female,Postgraduate,High,Rural,Teacher,11.43
Female,School,High,Urban,Doctor,31.2
Female,School,Low,Rural,Business Owner,11.3
Male,Postgraduate,High,Rural,Teacher,12.05
Male,Graduate,Low,Rural,Farmer,8.72
Male,Graduate,Low,Rural,Business Owner,14.21
Female,Postgraduate,Low,Rural,Software Engineer,22.05
Male,Postgraduate,Low,Urban,Government Officer,12.23
Male,Graduate,Low,Rural,Teacher,5.04
Male,School,Middle,Urban,Doctor,26.01
Male,Postgraduate,Low,Rural,Business Owner,14.29
Male,School,Low,Urban,Farmer,3.64
Female,Postgraduate,Middle,Urban,Teacher,9.92
Male,Graduate,Middle,Urban,Government Officer,21.85
Female,School,Middle,Rural,Doctor,25.82
Female,School,High,Urban,Doctor,25.35
Female,Postgraduate,High,Rural,Business Owner,16.61
Female,School,Low,Rural,Teacher,6.72
Female,Postgraduate,Low,Urban,Teacher,9.57
Male,Graduate,Low,Urban,Doctor,17.96
Male,School,Low,Rural,Software Engineer,20.48
Male,Postgraduate,Middle,Rural,Doctor,26.84
Female,School,High,Rural,Government Officer,13.58
Male,Postgraduate,Middle,Urban,Teacher,5.76
Male,Postgraduate,High,Rural,Business Owner,10.0
Female,Postgraduate,Middle,Rural,Teacher,10.86
Female,Graduate,Low,Rural,Doctor,18.79
Female,School,High,Rural,Government Officer,15.58
Female,Graduate,Low,Rural,Software Engineer,24.05
Male,Postgraduate,High,Rural,Teacher,7.48
Female,Postgraduate,High,Rural,Doctor,22.95
Female,Graduate,Low,Rural,Farmer,11.36
Male,Graduate,Low,Rural,Doctor,31.5
Male,School,Low,Rural,Doctor,20.11
Female,Postgraduate,Middle,Rural,Government Officer,19.77
Male,Graduate,High,Rural,Doctor,28.32
Female,Postgraduate,High,Urban,Doctor,33.0
Female,Postgraduate,High,Rural,Doctor,25.95
Male,School,Low,Rural,Teacher,10.61
Male,School,High,Rural,Doctor,32.77
Female,School,High,Rural,Government Officer,12.71
Female,Graduate,Low,Rural,Farmer,8.65
Female,Postgraduate,Low,Urban,Teacher,9.17
Male,Graduate,High,Rural,Farmer,11.19
Female,Graduate,Middle,Urban,Doctor,34.21
Female,School,Low,Rural,Software Engineer,13.4
Female,Postgraduate,Middle,Urban,Farmer,5.53
Female,Postgraduate,Middle,Urban,Government Officer,15.55
Female,School,Middle,Rural,Software Engineer,12.01
Male,Postgraduate,Middle,Urban,Government Officer,18.28
Female,School,Low,Urban,Software Engineer,20.26
Female,Graduate,High,Rural,Doctor,26.46
Female,Graduate,High,Urban,Software Engineer,23.26
Female,School,Low,Urban,Farmer,3.57
Male,Graduate,Low,Urban,Software Engineer,22.45
Male,Graduate,Middle,Rural,Government Officer,23.88
Male,School,Middle,Rural,Doctor,24.1
Female,Graduate,Low,Rural,Government Officer,13.39
Female,Postgraduate,High,Rural,Doctor,16.72
Male,Graduate,Middle,Urban,Farmer,5.54
Male,School,Low,Rural,Business Owner,17.03
Male,Postgraduate,Low,Urban,Teacher,7.61
Female,Postgraduate,Low,Rural,Farmer,10.33
Female,Graduate,Middle,Rural,Farmer,10.38
Male,Postgraduate,Low,Urban,Teacher,9.57
Male,School,High,Urban,Government Officer,15.91
Male,Postgraduate,Low,Rural,Farmer,8.38
Female,Graduate,Middle,Rural,Doctor,31.21
Female,Graduate,High,Rural,Software Engineer,11.29
Female,Postgraduate,High,Rural,Farmer,11.58
Male,School,Low,Rural,Teacher,11.46
Male,School,Low,Urban,Farmer,6.58
Female,Graduate,High,Rural,Government Officer,18.58
Male,Graduate,Low,Urban,Government Officer,17.01
Female,School,Middle,Rural,Government Officer,17.36
Male,Postgraduate,High,Rural,Doctor,26.91
Male,Postgraduate,Low,Urban,Farmer,3.54
Male,Postgraduate,High,Rural,Government Officer,14.28
Male,Postgraduate,Low,Urban,Business Owner,10.72
Female,School,Low,Urban,Software Engineer,18.15
Male,Graduate,Middle,Rural,Government Officer,16.82
Female,Graduate,Low,Urban,Doctor,29.44
Female,Postgraduate,Low,Rural,Software Engineer,15.18
Female,School,Low,Rural,Software Engineer,11.14
Male,School,Middle,Rural,Teacher,5.55
Female,Postgraduate,Low,Rural,Government Officer,12.15
Female,Postgraduate,Low,Rural,Government Officer,12.49
Female,Postgraduate,Low,Rural,Farmer,10.73
Male,Graduate,High,Rural,Doctor,28.94
Male,Postgraduate,Middle,Urban,Business Owner,19.95
Female,Graduate,High,Rural,Farmer,3.18
Male,School,Middle,Urban,Business Owner,18.19
Female,School,Middle,Rural,Teacher,11.96
Female,Graduate,High,Rural,Business Owner,15.68
Male,Graduate,Middle,Urban,Doctor,22.13
Female,Graduate,Middle,Urban,Teacher,8.77
Male,Graduate,High,Urban,Government Officer,22.99
Male,Postgraduate,Low,Urban,Business Owner,16.56
Female,School,Middle,Rural,Doctor,28.41
Male,Postgraduate,High,Rural,Doctor,15.61
Male,Graduate,Middle,Urban,Government Officer,14.4
Female,Postgraduate,High,Rural,Doctor,34.25
Female,Postgraduate,Low,Urban,Teacher,9.54
Male,School,Middle,Urban,Teacher,12.81
Male,Postgraduate,Low,Urban,Farmer,6.5
Female,School,Low,Urban,Software Engineer,25.29
Male,Graduate,High,Urban,Government Officer,13.55
Male,Postgraduate,Middle,Rural,Doctor,15.84
Male,Graduate,Middle,Urban,Business Owner,13.59
Male,School,Middle,Urban,Farmer,8.32
Male,Graduate,Middle,Rural,Teacher,8.24
Male,Graduate,Middle,Urban,Government Officer,21.31
Male,School,High,Urban,Government Officer,18.45
Female,Graduate,Middle,Rural,Teacher,14.28
Female,Graduate,Low,Rural,Software Engineer,11.7
Female,Graduate,Low,Rural,Government Officer,12.87
Female,Postgraduate,Middle,Rural,Doctor,33.1
Female,Graduate,High,Rural,Business Owner,16.03
Male,School,High,Urban,Business Owner,16.05
Male,Postgraduate,Middle,Urban,Teacher,5.28
Male,Postgraduate,Low,Urban,Government Officer,24.19
Male,School,Middle,Rural,Business Owner,17.26
Female,Graduate,Middle,Rural,Government Officer,21.94
Male,Postgraduate,Middle,Rural,Teacher,14.12
Male,Postgraduate,High,Rural,Software Engineer,21.56
Female,Postgraduate,High,Rural,Business Owner,12.74
Male,Graduate,Low,Rural,Doctor,24.61
Male,Postgraduate,Low,Urban,Farmer,10.0
Female,School,Middle,Rural,Teacher,12.69
Male,Graduate,Low,Urban,Farmer,8.49
Male,School,Middle,Urban,Software Engineer,14.36
Male,School,Low,Urban,Doctor,31.38
Male,Postgraduate,Middle,Rural,Farmer,8.83
Male,Postgraduate,High,Rural,Doctor,19.43
Female,Postgraduate,Middle,Rural,Business Owner,13.77
Female,School,High,Rural,Government Officer,24.96
Female,Graduate,High,Rural,Teacher,8.28
Female,Postgraduate,Low,Urban,Doctor,17.33
Female,Postgraduate,Low,Urban,Business Owner,8.26
Female,School,High,Rural,Software Engineer,13.69
Male,Graduate,Middle,Urban,Doctor,18.74
Female,School,Middle,Urban,Software Engineer,27.16
Female,Postgraduate,Low,Rural,Teacher,6.56
Male,School,Middle,Urban,Business Owner,18.35
Male,Postgraduate,Middle,Urban,Software Engineer,11.73
Female,Graduate,Middle,Rural,Government Officer,23.79
Male,School,High,Urban,Farmer,5.31
Female,Postgraduate,High,Rural,Software Engineer,22.23
Male,Postgraduate,Middle,Rural,Software Engineer,13.19
Female,Postgraduate,Low,Rural,Business Owner,12.68
Male,Postgraduate,Middle,Urban,Business Owner,9.03
Male,School,Low,Urban,Doctor,26.59
Female,Postgraduate,High,Urban,Farmer,6.11
Female,School,Middle,Rural,Software Engineer,27.04
Female,Postgraduate,Middle,Urban,Software Engineer,13.64
Female,School,Low,Urban,Business Owner,11.36
Female,School,Low,Rural,Government Officer,14.3
Male,Postgraduate,Middle,Rural,Business Owner,14.77
Female,Postgraduate,Middle,Rural,Government Officer,13.45
Female,Postgraduate,Low,Urban,Farmer,4.7
Male,Postgraduate,High,Rural,Business Owner,16.14
Male,Graduate,Low,Urban,Farmer,3.67
Female,Postgraduate,Middle,Rural,Teacher,12.43
Male,Postgraduate,High,Rural,Software Engineer,12.09
Male,Postgraduate,High,Rural,Farmer,8.27
Female,School,High,Rural,Government Officer,24.97
Male,Postgraduate,High,Urban,Teacher,6.74
Male,School,Middle,Urban,Government Officer,15.39
Female,School,High,Urban,Doctor,32.97
Female,School,Low,Rural,Doctor,27.53
Male,School,Low,Urban,Software Engineer,19.85
Male,Graduate,Low,Rural,Teacher,10.63
Female,Postgraduate,Middle,Rural,Teacher,7.95
Male,School,High,Urban,Doctor,32.11
Male,Postgraduate,Low,Rural,Software Engineer,24.91
Male,School,Low,Rural,Farmer,8.78
Female,Graduate,Low,Urban,Doctor,33.63
Male,School,High,Urban,Teacher,10.78
Male,Postgraduate,Low,Rural,Government Officer,18.65
Female,Postgraduate,High,Urban,Teacher,14.76
Male,Graduate,High,Rural,Software Engineer,14.12
Male,Postgraduate,High,Urban,Teacher,6.42
Female,Postgraduate,Middle,Rural,Business Owner,9.95
Female,School,Middle,Rural,Teacher,14.89
Female,Postgraduate,High,Rural,Business Owner,15.83
Female,School,High,Urban,Doctor,21.12
Male,Graduate,Middle,Urban,Farmer,5.24
Male,Postgraduate,Middle,Rural,Business Owner,8.68
Female,School,High,Urban,Teacher,6.32
Female,Postgraduate,Middle,Urban,Farmer,11.17
Male,School,Low,Urban,Farmer,9.73
Female,Graduate,High,Rural,Teacher,14.42
Male,School,High,Urban,Teacher,9.24
Female,Postgraduate,Middle,Urban,Software Engineer,22.02
Male,School,Low,Urban,Doctor,24.67
Female,Postgraduate,Middle,Rural,Business Owner,18.58
Female,Graduate,Low,Rural,Government Officer,24.89
Male,School,Low,Rural,Business Owner,19.19
Female,Postgraduate,High,Urban,Teacher,10.98
Male,Postgraduate,Low,Rural,Government Officer,12.8
Male,Postgraduate,High,Urban,Government Officer,20.03
Male,School,Low,Urban,Business Owner,9.16
Male,School,High,Rural,Business Owner,9.67
Male,School,Low,Urban,Business Owner,10.3
Female,Graduate,Middle,Rural,Business Owner,12.36
Female,Postgraduate,Low,Urban,Doctor,26.84
Male,Postgraduate,Middle,Urban,Software Engineer,16.67
Female,Graduate,Low,Urban,Software Engineer,19.05
Male,Graduate,Low,Urban,Business Owner,8.57
Female,School,High,Urban,Software Engineer,22.4
Female,School,Low,Rural,Business Owner,15.88
Female,School,Low,Rural,Business Owner,9.19
Female,School,Low,Rural,Business Owner,17.42
Male,School,Middle,Rural,Farmer,8.83
Male,School,High,Urban,Doctor,24.79
Female,Graduate,High,Urban,Teacher,10.53
Female,Graduate,Low,Rural,Software Engineer,20.06
Male,Graduate,Low,Rural,Software Engineer,11.08
Female,Postgraduate,Middle,Urban,Doctor,29.7
Male,Postgraduate,Low,Rural,Doctor,25.24
Male,School,High,Urban,Business Owner,10.07
Male,Graduate,High,Urban,Business Owner,16.17
Female,Postgraduate,Middle,Rural,Farmer,9.26
Male,Postgraduate,Middle,Urban,Farmer,4.92
Female,Graduate,High,Urban,Teacher,12.96
Male,Postgraduate,Middle,Rural,Software Engineer,19.13
Female,Postgraduate,Low,Rural,Doctor,18.61
Female,Graduate,Low,Urban,Teacher,11.58
Female,Postgraduate,Middle,Rural,Software Engineer,21.93
Male,Graduate,High,Urban,Teacher,6.7
Male,Postgraduate,Middle,Rural,Teacher,13.72
Female,Graduate,High,Urban,Business Owner,18.25
Female,Postgraduate,Middle,Urban,Teacher,13.36
Female,Postgraduate,Middle,Urban,Business Owner,12.79
Male,Graduate,Middle,Urban,Software Engineer,26.49
Male,Postgraduate,Low,Urban,Farmer,10.6
Male,Graduate,Low,Urban,Software Engineer,29.93
Male,Graduate,High,Urban,Business Owner,19.49
Female,Postgraduate,Middle,Urban,Farmer,6.45
Female,School,Low,Urban,Government Officer,14.58
Male,Postgraduate,Middle,Rural,Farmer,5.63
Male,School,High,Urban,Teacher,9.95
Female,School,Low,Rural,Software Engineer,26.11
Male,Postgraduate,High,Rural,Teacher,12.23
Male,School,Low,Rural,Farmer,10.09
Male,Graduate,Middle,Urban,Government Officer,16.94
Male,Graduate,High,Urban,Teacher,7.47
Male,School,Low,Rural,Government Officer,12.31
Male,Graduate,Low,Urban,Doctor,27.52
Female,Postgraduate,Middle,Urban,Government Officer,22.34
Male,Graduate,High,Urban,Software Engineer,27.78
Male,School,High,Urban,Farmer,7.29
Female,Postgraduate,High,Urban,Business Owner,19.13
Female,Graduate,Middle,Urban,Business Owner,10.43
Female,Postgraduate,Low,Rural,Teacher,10.14
Male,School,Low,Rural,Farmer,4.92
Female,Graduate,High,Rural,Doctor,18.76
Male,Postgraduate,Low,Rural,Teacher,14.53
Male,Postgraduate,High,Rural,Government Officer,22.63
Male,Graduate,Middle,Urban,Business Owner,8.14
Female,Postgraduate,Middle,Urban,Government Officer,15.49
Female,Postgraduate,Middle,Urban,Business Owner,10.46
Female,School,High,Rural,Business Owner,9.77
Female,School,Low,Rural,Business Owner,16.37
Female,School,Middle,Urban,Farmer,8.1
Male,School,High,Rural,Software Engineer,19.08
Male,School,High,Urban,Farmer,4.71
Male,School,Middle,Urban,Government Officer,15.61
Male,Graduate,Middle,Urban,Farmer,6.2
Female,School,Middle,Rural,Teacher,12.85
Female,Postgraduate,Low,Rural,Doctor,34.78
Male,Graduate,Low,Urban,Teacher,6.84
Female,Postgraduate,High,Urban,Farmer,6.07
Female,School,Middle,Rural,Government Officer,15.64
Male,School,Middle,Rural,Doctor,15.88
Male,Postgraduate,Low,Rural,Teacher,7.19
Female,Postgraduate,Middle,Rural,Doctor,33.03
Female,Postgraduate,High,Urban,Government Officer,22.96
Male,Graduate,Middle,Urban,Business Owner,10.01
Male,School,Low,Rural,Government Officer,16.76
Male,Postgraduate,High,Rural,Software Engineer,16.22
Female,School,High,Rural,Doctor,17.95
Male,Postgraduate,Middle,Rural,Government Officer,20.09
Male,School,High,Urban,Business Owner,14.69
Female,Graduate,Middle,Rural,Business Owner,13.12
Female,School,Middle,Rural,Government Officer,23.12
Female,Postgraduate,Low,Urban,Teacher,11.2
Female,School,High,Rural,Government Officer,15.37
Female,Graduate,Middle,Urban,Business Owner,12.48
Male,Graduate,Middle,Urban,Government Officer,13.95
Male,School,Middle,Urban,Software Engineer,21.83
Female,Postgraduate,High,Rural,Teacher,10.87
Female,Graduate,High,Urban,Government Officer,23.31
Female,Graduate,High,Rural,Business Owner,18.27
Female,School,Middle,Rural,Government Officer,22.88
Female,Graduate,High,Urban,Government Officer,19.14
Male,Graduate,Middle,Urban,Doctor,28.04
Male,Postgraduate,High,Urban,Government Officer,22.08
Male,Postgraduate,High,Rural,Software Engineer,11.83
Male,Postgraduate,Middle,Rural,Business Owner,11.61
Female,School,High,Urban,Farmer,4.52
Male,Graduate,Middle,Rural,Doctor,25.23
Female,School,High,Urban,Farmer,10.54
Female,Graduate,High,Rural,Government Officer,15.0
Female,Graduate,High,Rural,Teacher,12.31
Male,Graduate,High,Rural,Software Engineer,18.12
Female,Postgraduate,Low,Rural,Software Engineer,28.06
Male,School,Middle,Urban,Software Engineer,22.54
Male,School,Low,Urban,Doctor,34.53
Female,Graduate,High,Urban,Government Officer,15.19
Female,School,High,Rural,Software Engineer,28.48
Female,Postgraduate,Middle,Rural,Government Officer,16.64
Male,School,Middle,Urban,Teacher,11.22
Female,Graduate,Middle,Urban,Government Officer,14.27
Male,Postgraduate,Middle,Urban,Farmer,9.84
Female,Postgraduate,High,Rural,Government Officer,24.72
Female,Graduate,Middle,Urban,Government Officer,22.24
Male,School,Low,Urban,Business Owner,15.39
Male,Graduate,Middle,Urban,Farmer,7.03
Male,School,Middle,Urban,Doctor,21.9
Male,School,Low,Urban,Government Officer,17.45
Male,Postgraduate,Low,Urban,Software Engineer,16.57
Male,Graduate,Low,Urban,Business Owner,17.99
Female,Postgraduate,Low,Urban,Government Officer,23.61
Female,Graduate,Middle,Urban,Business Owner,19.4
Male,Graduate,Low,Rural,Doctor,23.37
Female,Postgraduate,High,Urban,Business Owner,14.55
Male,Graduate,Middle,Urban,Software Engineer,21.54
Female,Graduate,High,Urban,Government Officer,20.46
Female,School,Middle,Rural,Software Engineer,10.05
Male,Graduate,Middle,Rural,Teacher,13.43
Male,Graduate,High,Urban,Business Owner,11.22
Male,Postgraduate,Low,Rural,Business Owner,13.67
Female,Postgraduate,Low,Rural,Business Owner,18.1
Male,Graduate,High,Urban,Farmer,11.97
Female,School,Low,Rural,Doctor,30.9
Male,School,Middle,Rural,Farmer,3.22
Female,Postgraduate,Middle,Urban,Software Engineer,17.38
Female,Graduate,Middle,Urban,Teacher,7.47
Male,Graduate,Low,Rural,Doctor,34.28
Female,School,Low,Urban,Doctor,20.28
Female,School,High,Urban,Government Officer,24.26
Male,School,Middle,Urban,Teacher,14.38
Female,Postgraduate,High,Rural,Business Owner,18.07
Male,Graduate,Low,Urban,Farmer,3.88
Male,Postgraduate,High,Rural,Business Owner,8.02
Male,Graduate,Low,Rural,Government Officer,22.32
Male,Postgraduate,Middle,Urban,Farmer,10.59
Female,Graduate,Middle,Rural,Business Owner,19.55
Female,School,Low,Urban,Software Engineer,14.37
Female,School,Low,Urban,Business Owner,16.8
Male,School,Low,Urban,Farmer,7.67
Female,Postgraduate,Middle,Urban,Software Engineer,16.57
Female,School,Low,Urban,Government Officer,19.88
Male,Graduate,Middle,Rural,Government Officer,19.13
Male,Postgraduate,High,Rural,Software Engineer,15.85
Female,Graduate,Middle,Urban,Farmer,5.42
Male,Postgraduate,High,Rural,Farmer,7.38
Male,Graduate,Middle,Rural,Business Owner,13.69
Male,Graduate,Middle,Rural,Government Officer,15.93
Male,Postgraduate,Low,Rural,Government Officer,15.43
Female,Postgraduate,Middle,Urban,Software Engineer,29.09
Male,School,Low,Urban,Government Officer,23.21
Male,School,Low,Urban,Business Owner,17.8
Male,Graduate,Low,Rural,Government Officer,14.79
Male,Graduate,Middle,Rural,Software Engineer,13.79
Male,Graduate,Low,Urban,Business Owner,17.71
Male,Postgraduate,High,Urban,Teacher,6.85
Male,Postgraduate,High,Rural,Software Engineer,20.07
Male,School,Middle,Urban,Teacher,7.21
Female,Graduate,Low,Rural,Government Officer,16.91
Male,School,High,Urban,Business Owner,18.24
Female,Postgraduate,Middle,Urban,Government Officer,23.59
Male,Postgraduate,Middle,Rural,Business Owner,19.96
Male,Postgraduate,Middle,Urban,Doctor,33.88
Male,School,Middle,Urban,Government Officer,20.73
